PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-19,13:01:45.56,1,1,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,0,Curveball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.21965,-2.616815,-3.471345,2172.256934,178.826798,12:00,5.82018,2.05966,5.2063,-25.66907,17.11454,-0.3211,1.21382,-1.23579,75.14845,-7.353436,-3.528091,0.470771,,,,,,,,,,,,-0.83965,9.72611,-1.73782,50,5.55861,7.22746,-118.92206,-6.28583,-1.19837,23.52419,-18.29253,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,db0dc660-b087-11ed-b1f9-657464550c74,80.06525,,,7.0712,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:01:45.56,2023-02-19T13:01:45.5667966-06:00,2023-02-19T19:01:45.5667966Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,404dfd20-5da4-4de6-92ef-7ca211a530fe,55.29133,-119.96418,11.76209,5.81912,-5.47547,-9.14627,-2.05917,7.28055,-0.59918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-19,13:02:02.34,1,2,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.69354,-1.451998,-3.215691,2230.956727,188.067934,12:15,5.8458,1.85218,5.17977,-28.87734,14.11284,1.81142,2.07068,-1.02579,75.11355,-6.751278,-2.895552,0.471906,,,,,,,,,,,,-1.75937,7.835,-1.55427,50,5.68888,6.5742,-118.36865,-3.98294,-2.50635,21.72986,-21.01255,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,e50dbdf0-b087-11ed-b1f9-657464550c74,79.8727,,,6.57999,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:02:02.34,2023-02-19T13:02:02.3463166-06:00,2023-02-19T19:02:02.3463166Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,e2a26eac-ef06-47c4-af4e-57fa22ea0dd9,55.31875,-119.34106,10.86493,5.84608,-3.04263,-10.50627,-1.85097,6.68636,-1.25317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-19,13:02:18.64,1,3,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,2,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,83.05269,-2.541117,-2.56054,2211.94152,186.916005,12:15,5.91229,1.79669,5.19445,-32.62986,9.42678,0.96748,0.79881,-0.53293,75.76327,-8.501864,-2.389134,0.466755,,,,,,,,,,,,-1.26236,5.89028,-1.55985,50,5.65184,5.33463,-120.20399,-6.48615,-1.83091,25.19402,-23.63096,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,eeca9200-b087-11ed-b1f9-657464550c74,80.7543,,,7.28942,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:02:18.64,2023-02-19T13:02:18.6448638-06:00,2023-02-19T19:02:18.6448638Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,ac3ae70c-87db-488a-a26e-2d8ef25effa8,55.3044,-121.31066,12.59701,5.91395,-5.44813,-11.81548,-1.79595,5.41506,-0.91545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-19,13:02:39.91,1,4,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,2,Curveball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.84769,0.384779,-2.111648,2233.784656,114.601412,9:45,5.90579,1.83266,5.28428,-37.7736,6.65343,-11.07571,3.11959,-1.07428,73.11885,-6.558838,-4.074574,0.479728,,,,,,,,,,,,4.8139,3.70012,-1.63183,50,5.91381,4.78603,-117.0685,-0.51647,6.57838,25.2561,-27.11769,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,fb903940-b087-11ed-b1f9-657464550c74,78.57046,,,7.72884,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:02:39.91,2023-02-19T13:02:39.9120000-06:00,2023-02-19T19:02:39.9120000Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,07b99f7f-88c3-48d1-9099-274e191855fa,55.21182,-118.18754,12.62805,5.91007,0.68506,-13.55885,-1.83743,4.49456,3.28919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93598,2.637935,1.81335,0.824585,-1.48742,2.77403,1.28386,1.3895,4.99303,-5.97579,66.12881,8.32384,-58.6528,1.40223,81.68008,-3.85457,5.08113,16.1777,-14.80372,-6.15007,-71.83232,9.80547,High,High,High,,,High,Low,Medium
5,2023-02-19,13:03:12.52,2,1,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.50826,-1.934872,-1.984797,2053.189821,223.941507,1:30,5.89097,2.12465,5.16436,-17.94273,17.02269,15.35721,2.57286,1.53558,82.9827,-5.28042,0.733741,0.425589,,,,,,,,,,,,-8.16611,9.32213,-1.95169,50,5.69704,3.82991,-131.27701,-5.06115,-14.31301,26.65064,-15.83484,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,0ef288d0-b088-11ed-b1f9-657464550c74,88.56533,,,7.52556,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:03:12.52,2023-02-19T13:03:12.5236990-06:00,2023-02-19T19:03:12.5236990Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,1b8bdad8-cacc-49b7-abd7-f812c2bf9b20,55.33553,-132.35574,13.32532,5.88893,-4.4202,-7.91742,-2.11844,4.40926,-7.1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-19,13:03:26.88,2,2,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,89.99929,-2.162003,-2.517685,2029.040786,217.555541,1:15,5.94375,1.924,5.30026,-16.25154,18.94619,13.72394,2.55678,0.70247,82.51775,-5.217706,-0.083916,0.427001,75.14154,60.770502,-50.209979,5274.57102,,,,,129.79218,,,-7.62374,10.43646,-1.70572,50,5.73566,5.12991,-130.53134,-5.46929,-13.20651,26.4373,-14.09514,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,176be060-b088-11ed-b1f9-657464550c74,88.27252,105.82261,,7.48154,,,,1.54147,2.50606,-0.69534,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:03:26.88,2023-02-19T13:03:26.8820222-06:00,2023-02-19T19:03:26.8820222Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,45ff04a3-6fdd-4639-a33a-fbcc897afb4f,55.20147,-131.58061,13.21865,5.94163,-4.90987,-7.04757,-1.91972,5.65406,-6.60326,147.389425,1.54137,34.44565,-12.55393,3.64991,-1.14975,0.44851,-0.17409,0.04008,-0.00348,2.50603,96.17689,-28.37144,4.01112,-0.91863,0.2572,-0.08692,0.01947,-0.00169,-0.6953,-41.35302,0.52861,1.91072,-0.77816,0.27429,-0.10198,0.03269,-0.0045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2023-02-19,13:03:52.48,2,3,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.26919,-2.031182,-3.006269,2121.433184,215.605163,1:15,5.95029,2.00791,5.23106,-16.9654,18.22469,12.24489,2.62369,0.19972,82.54436,-5.214554,-0.839055,0.426955,93.18753,49.756296,2.155342,3524.464181,109.9007,118.87903,-4.67273,263.87136,254.79476,-3.460574,6.073757,-6.96756,10.00945,-1.74047,50,5.75074,6.3108,-130.81194,-5.21602,-12.09633,27.09526,-14.79676,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,26b3ecc0-b088-11ed-b1f9-657464550c74,88.2821,137.88419,,7.72483,,,,1.78327,2.65065,-0.21373,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:03:52.48,2023-02-19T13:03:52.4837118-06:00,2023-02-19T19:03:52.4837118Z,FlyBall,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,9204f0e8-d51c-4a3e-a6f9-f8b833300190,55.26934,-131.89887,13.54763,5.94808,-4.62245,-7.39838,-2.00336,6.79605,-6.04816,161.572624,1.79093,88.03833,-21.15895,4.21933,0.17166,-0.41371,0.11606,-0.01388,0.00062,2.62058,104.79737,-26.05167,4.24493,-1.53789,0.42321,-0.06601,0.00514,-0.00015,-0.19818,3.04153,-5.67799,1.31004,0.40908,-0.32208,0.07984,-0.00895,0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2023-02-19,13:04:29.85,3,1,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Widder, Brent",1000078767,Right,EVA_ACE,Undefined,1,Top,2,0,0,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.15644,-2.287217,-2.599445,2288.913676,129.373383,10:15,5.81928,1.98226,5.13876,-34.95785,9.44292,-9.56595,0.74901,-1.26434,73.75001,-8.664468,-4.291115,0.479586,,,,,,,,,,,,3.92229,5.91,-1.73083,50,5.57816,5.73339,-117.37197,-5.90551,5.39103,25.26434,-24.05099,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,3d1b6600-b088-11ed-b1f9-657464550c74,78.59369,,,7.40643,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:04:29.85,2023-02-19T13:04:29.8533118-06:00,2023-02-19T19:04:29.8533118Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,7b89ed73-6062-4b33-86da-242e210a2fab,55.35822,-118.51972,12.63217,5.82162,-4.81288,-12.02549,-1.98573,5.48848,2.69552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-19,13:04:45.61,3,2,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Widder, Brent",1000078767,Right,EVA_ACE,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.60417,-1.79214,-2.356032,2222.131211,187.466363,12:15,5.83577,1.94275,5.47819,-31.43647,10.55792,1.23677,1.53716,-0.16002,76.14816,-7.530228,-2.135823,0.466409,,,,,,,,,,,,-1.16748,6.09536,-1.7367,50,5.6567,4.82896,-118.55067,-4.76177,-1.69029,18.98229,-23.34919,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,466728c0-b088-11ed-b1f9-657464550c74,80.81412,,,5.45602,,,,,,,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:04:45.61,2023-02-19T13:04:45.6154878-06:00,2023-02-19T19:04:45.6154878Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,3792e6cd-18f2-4019-ad2c-6672f85bcba4,55.02336,-119.3523,9.49115,5.83697,-3.77572,-11.6746,-1.94213,4.90034,-0.84514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-19,13:05:01.19,3,3,"Stewart, Grayson",1000093879,Right,TRO_TRJ,"Widder, Brent",1000078767,Right,EVA_ACE,Undefined,1,Top,2,1,1,Curveball,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,75.98541,0.753168,-1.99926,2379.759637,91.610515,9:00,5.76426,1.94662,5.16645,-47.50321,1.68295,-12.43371,2.51498,-0.97191,70.7335,-7.832688,-4.199376,0.504769,63.41693,24.642206,159.214682,3527.147286,,,,,48.6432,,,5.7713,1.00925,-1.75008,50,5.7977,4.32486,-110.3983,-0.14241,7.20343,17.5649,-30.91434,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230219-RiddlePaceField-1,4fb869c0-b088-11ed-b1f9-657464550c74,74.67262,18.04655,,5.25191,,,,2.12368,2.50178,0.92979,baf33afe-0048-4efe-ab98-2aed2520d874,2023-02-19,19:05:01.19,2023-02-19T13:05:01.1908350-06:00,2023-02-19T19:05:01.1908350Z,,v3,471470,471290,,"Stearns, Clay",1000113027,Right,TRO_TRJ,79b0b4a7-3b20-4167-a867-5217722a2411,55.33671,-111.24415,8.78245,5.76871,1.3463,-15.45717,-1.94999,3.97798,3.60171,328.768912,2.12368,-79.03853,3.83553,0.00998,0.00291,0.0165,-0.00237,0.00031,-0.00011,2.50178,38.78112,-23.21101,2.10088,-0.42097,0.08329,-0.01357,0.0039,-0.00086,0.92979,30.00075,-4.63329,0.54778,-0.11366,0.01277,-0.00234,0.00048,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
